idx,time_delta
0,20.303051
1,26.746101
2,6.48911
3,3.5375185
4,24.098763
5,21.249119
6,16.93176
7,11.922915
8,3.2052474
9,29.985523
10,6.7582026
11,7.738727
12,2.629736
13,11.852858
14,8.4887295
15,10.145308
16,1.0
17,1.4035912
18,12.03501
19,11.826069
20,1.0
21,4.8112416
22,16.743113
23,3.1211147
24,23.702652
25,5.3947396
26,8.821417
27,25.936588
28,7.5783052
29,2.0813603
30,14.239312
31,8.0649395
32,5.5386066
33,29.70124
34,12.683895
35,7.15443
36,25.022797
37,1.0
38,25.66447
39,2.2333484
40,10.223965
41,20.092144
42,10.135952
43,1.0
44,8.235141
45,16.144516
46,2.9191294
47,14.857547
48,24.034554
49,2.8977847
50,4.442651
51,19.076555
52,11.270347
53,15.7158375
54,2.5246873
55,13.9816475
56,2.5935416
57,1.0
58,24.878578
59,2.280055
60,4.449129
61,17.223272
62,4.317606
63,12.414282
64,14.291979
65,15.672294
66,13.18148
67,1.1145706
68,4.751912
69,3.5776997
70,7.374079
71,23.535418
72,1.4544601
73,23.05795
74,14.6744375
75,12.3959465
76,17.311295
77,9.182142
78,17.52568
79,22.756538
80,18.344559
81,17.160347
82,18.891197
83,18.195976
84,3.3528366
85,19.776157
86,10.124824
87,5.624689
88,2.0811934
89,1.0
90,7.080229
91,11.491209
92,7.5271826
93,7.5187416
94,20.96856
95,6.3625193
96,11.649558
97,30.48415
98,8.227367
99,7.385767
100,5.9871826
101,1.3652248
102,9.468607
103,3.5753417
104,7.2547226
105,2.654502
106,6.9916553
107,4.8369713
108,21.71019
109,31.127209
110,19.443016
111,15.260881
112,30.329967
113,15.253731
114,25.299889
115,12.037891
116,20.357315
117,24.2924
118,26.116009
119,1.023694
120,6.3937426
121,20.875723
122,4.0349665
123,6.4577
124,29.029715
125,11.060539
126,14.232571
127,10.061651
128,10.869087
129,1.0
130,8.546715
131,25.005615
132,7.271793
133,4.7327356
134,1.0
135,12.541354
136,6.305847
137,1.0
138,9.299023
139,14.60628
140,18.255047
141,18.671474
142,7.253396
143,10.122048
144,10.930106
145,13.295487
146,9.329603
147,17.727034
148,29.139633
149,3.6562982
150,30.835854
151,1.3574924
152,24.806799
153,5.7744107
154,1.0
155,31.439846
156,7.230747
157,13.646627
158,17.836372
159,6.8139486
160,5.7841654
161,9.057512
162,9.432495
163,24.810371
164,12.56723
165,1.262773
166,17.682913
167,1.4245119
168,1.0560565
169,10.789101
170,3.5170498
171,11.3335495
172,7.5581
173,14.857501
174,14.345371
175,25.91412
176,15.112282
177,15.5432005
178,2.6939049
179,7.7047405
180,4.0944695
181,19.871662
182,8.996027
183,3.6627207
184,6.5557775
185,18.514666
186,5.6645536
187,21.782078
188,17.971128
189,18.781807
190,8.143305
191,31.253304
192,22.790298
193,13.047114
194,34.74335
195,25.321873
196,4.1415033
197,9.992426
198,12.439874
199,28.166157
200,4.640962
201,9.440197
202,4.1010466
203,17.38252
204,2.5344172
205,16.393919
206,8.839374
207,1.0
208,19.53411
209,18.408787
210,1.0
211,17.088472
212,14.793232
213,25.410126
214,28.146507
215,13.83721
216,22.192179
217,1.0
218,13.755949
219,3.3660507
220,31.677292
221,1.0
222,4.071188
223,6.3623657
224,29.997124
225,9.638406
226,18.440516
227,26.918106
228,19.087341
229,6.926072
230,15.122603
231,8.114416
232,27.901852
233,17.07859
234,4.5016623
235,8.091987
236,23.431248
237,17.483732
238,12.150768
239,3.1474988
240,30.123003
241,18.458994
242,12.083227
243,3.1546512
244,5.372902
245,1.0
246,12.765511
247,20.81363
248,6.2502937
249,14.683281
250,12.960163
251,6.277981
252,10.593266
253,22.015308
254,4.755431
255,6.0220413
256,28.118683
257,19.305674
258,7.2629385
259,2.7480097
260,9.5757065
261,13.3452215
262,16.386795
263,17.497616
264,21.54811
265,4.7611027
266,16.346563
267,6.311911
268,16.288666
269,21.649923
270,11.898306
271,19.374117
272,23.666477
273,1.0
274,19.780201
275,24.029354
276,3.4372683
277,3.9213657
278,32.03385
279,6.080987
280,2.7657585
281,2.7507658
282,21.972965
283,17.449106
284,8.676176
285,14.4351845
286,14.342092
287,1.0
288,6.295884
289,30.526955
290,6.0312366
291,30.415369
292,5.869117
293,14.455091
294,16.480227
295,14.197038
296,3.5983047
297,7.8420854
298,14.379908
299,15.155171
300,2.815466
301,6.040886
302,5.267623
303,4.665112
304,4.903261
305,22.885084
306,7.770802
307,9.591536
308,12.004844
309,25.092396
310,4.290107
311,19.624752
312,10.062459
313,1.5517168
314,20.05019
315,25.93103
316,26.946287
317,2.4079118
318,20.661442
319,28.270271
320,4.0753374
321,1.9129953
322,24.357222
323,22.494602
324,24.391088
325,2.016262
326,1.5315304
327,19.589907
328,4.7258797
329,20.379442
330,6.217018
331,21.014397
332,13.467873
333,19.438774
334,4.911277
335,6.3936577
336,26.888638
337,7.6591578
338,25.40437
339,4.494236
340,33.332947
341,19.663643
342,7.0681148
343,31.457626
344,29.549253
345,26.007187
346,8.84902
347,1.6774006
348,5.118499
349,8.416028
350,1.2049847
351,1.0
352,17.81958
353,7.162575
354,2.3336833
355,3.842806
356,16.449978
357,17.475409
358,3.7250156
359,21.92841
360,24.96008
361,12.028092
362,1.0257902
363,9.8882
364,1.5436068
365,4.91807
366,16.197107
367,19.411547
368,7.4468226
369,22.339252
370,23.60548
371,26.730604
372,17.789362
373,26.491562
374,7.9169955
375,23.592289
376,5.519311
377,18.70536
378,25.868225
379,22.777754
380,11.818605
381,8.890639
382,10.534512
383,5.5601206
384,32.435066
385,7.142473
386,17.988739
387,12.624686
388,27.277866
389,1.3978529
390,2.5872278
391,14.081189
392,11.6307535
393,11.165232
394,8.287955
395,1.7427979
396,12.085293
397,2.2845526
398,30.981304
399,24.437653
400,19.312307
401,10.648325
402,12.036822
403,22.558128
404,5.7459817
405,4.5177364
406,10.483876
407,6.5686326
408,3.7720327
409,24.778479
410,30.782803
411,21.367638
412,33.932667
413,5.48046
414,27.232914
415,4.4519815
416,16.948036
417,30.800335
418,2.208527
419,6.0705056
420,23.026361
421,1.0
422,4.815583
423,14.029002
424,24.488861
425,3.0781775
426,22.257275
427,17.8475
428,3.7659373
429,5.598506
430,13.008914
431,1.0
432,7.53603
433,7.655916
434,28.669317
435,10.150631
436,10.0751095
437,3.407775
438,22.952024
439,11.629485
440,3.0281296
441,7.137493
442,6.6804457
443,23.00152
444,16.354246
445,13.781691
446,11.64269
447,5.6055126
448,2.619365
449,12.891088
450,9.3232355
451,3.3121686
452,12.795674
453,10.063129
454,14.17207
455,21.666142
456,11.203324
457,5.851493
458,30.224735
459,13.302515
460,11.319094
