idx,time_delta
0,19.72041
1,23.665354
2,5.1800146
3,3.7535563
4,26.533316
5,20.274883
6,19.52989
7,11.472702
8,2.923482
9,27.256653
10,6.9211245
11,6.884317
12,2.6495848
13,10.609667
14,8.258222
15,8.99524
16,1.0
17,1.7853832
18,13.215329
19,11.386174
20,1.3406277
21,4.6755133
22,19.278706
23,2.3915825
24,25.751143
25,6.4097757
26,7.737855
27,23.526056
28,9.042612
29,2.7221484
30,12.826183
31,8.142365
32,4.872889
33,28.487293
34,14.06031
35,7.506314
36,21.56096
37,1.5531464
38,25.291397
39,2.4384975
40,10.388139
41,17.246002
42,8.78865
43,1.0
44,7.7080603
45,16.975885
46,2.365921
47,15.905809
48,23.158875
49,2.501677
50,3.102472
51,19.937386
52,11.768214
53,14.405024
54,2.6431956
55,14.481504
56,2.2352493
57,1.0
58,21.053387
59,1.0
60,3.5251331
61,14.49129
62,4.7560835
63,12.678204
64,14.656185
65,14.822074
66,12.048952
67,1.3739309
68,5.885795
69,3.090423
70,6.615096
71,23.526546
72,1.0
73,23.69484
74,15.712688
75,14.040688
76,16.456968
77,9.100587
78,17.373446
79,23.190145
80,18.821873
81,17.637949
82,18.705215
83,19.069986
84,4.6462917
85,19.464066
86,8.012022
87,7.666848
88,1.0
89,1.0
90,4.519806
91,10.073834
92,8.049146
93,6.6637096
94,21.621586
95,5.9898634
96,11.348337
97,29.605333
98,5.102742
99,3.5778046
100,4.003991
101,1.0
102,7.679277
103,3.4536314
104,6.6975183
105,1.8014297
106,6.9275026
107,5.15184
108,20.94744
109,28.0525
110,19.004463
111,15.150675
112,29.318789
113,15.815952
114,24.2202
115,13.94699
116,17.523504
117,24.154385
118,20.581142
119,1.0
120,4.0411367
121,17.34802
122,2.1313276
123,6.287624
124,26.031193
125,10.146376
126,13.281145
127,11.548429
128,10.207532
129,2.6022396
130,6.762225
131,21.803614
132,7.493946
133,3.6771138
134,1.0
135,12.542119
136,4.2728148
137,1.127183
138,8.465925
139,12.308275
140,19.152584
141,19.515255
142,6.146193
143,10.80346
144,10.775443
145,12.239069
146,10.054846
147,18.40459
148,30.648382
149,5.3384295
150,26.332788
151,1.7454395
152,20.736197
153,4.4089584
154,1.0
155,30.649523
156,4.722246
157,11.543862
158,17.192297
159,6.3413525
160,5.5489087
161,8.968094
162,8.624542
163,24.547396
164,13.003708
165,1.0
166,16.378757
167,1.4604673
168,1.0
169,9.995301
170,5.6106787
171,11.493262
172,6.0785236
173,15.925777
174,13.623711
175,25.211077
176,16.117327
177,15.079955
178,1.027482
179,4.388098
180,4.6318073
181,20.168379
182,7.6227503
183,5.091736
184,6.9466524
185,17.510502
186,4.7769675
187,23.036602
188,17.935472
189,18.667492
190,8.448782
191,30.857521
192,20.416502
193,13.904462
194,32.690083
195,22.18227
196,3.3868399
197,10.052359
198,12.639715
199,29.473131
200,5.4199038
201,11.425688
202,2.809914
203,17.700035
204,1.3590275
205,15.608728
206,9.28203
207,1.0
208,21.113363
209,17.981583
210,1.0
211,18.068882
212,14.097373
213,25.505001
214,27.823708
215,15.102509
216,17.816998
217,1.0
218,13.576689
219,2.007371
220,28.72563
221,1.6407616
222,2.652357
223,2.7549496
224,27.003674
225,10.773712
226,20.45888
227,25.729248
228,15.858611
229,8.350985
230,15.963955
231,7.521599
232,28.866117
233,18.225307
