idx,time_delta
0,25.602715
1,33.898106
2,9.108542
3,5.199788
4,26.574902
5,22.134382
6,19.667088
7,14.277441
8,8.18909
9,38.194027
10,10.141741
11,11.1656685
12,8.18909
13,14.756172
14,10.066638
15,10.987707
16,2.6187057
17,3.3862934
18,18.426243
19,14.827222
20,5.001252
21,7.1797113
22,20.850306
23,4.88836
24,27.501118
25,6.5418534
26,13.126291
27,30.613522
28,9.38967
29,5.916658
30,16.025772
31,10.583288
32,8.226442
33,31.077957
34,14.805145
35,9.090261
36,29.70682
37,2.4652176
38,25.912544
39,5.1904316
40,16.312706
41,25.777395
42,15.094931
43,1.5868454
44,10.876588
45,19.043716
46,5.3935657
47,18.172045
48,26.641611
49,4.424203
50,7.221643
51,23.151047
52,18.305101
53,19.788643
54,4.675406
55,16.913311
56,4.641635
57,2.2008343
58,29.410458
59,7.6547318
60,4.4249954
61,20.643335
62,6.880456
63,17.603888
64,16.225014
65,17.99916
66,13.099969
67,3.6470919
68,8.801607
69,9.903505
70,11.1656685
71,30.352161
72,4.6561546
73,25.558622
74,20.233332
75,14.591856
76,22.342583
77,10.350218
78,19.790686
79,25.030897
80,21.39118
81,20.302845
82,20.894787
83,19.931309
84,9.934681
85,26.83623
86,11.71653
87,9.110623
88,3.5927072
89,2.6176853
90,10.815178
91,16.198652
92,10.691729
93,7.8342357
94,23.359205
95,8.842089
96,13.930898
97,34.057003
98,11.168488
99,13.214234
100,8.137492
101,2.0523548
102,10.618542
103,5.2928486
104,13.069449
105,4.7336235
106,8.506054
107,7.0254393
108,23.817291
109,39.675278
110,21.701435
111,18.127522
112,35.185966
113,18.357845
114,25.756203
115,13.581958
116,23.282045
117,28.09314
118,33.542805
119,4.7210436
120,9.692265
121,25.937357
122,8.911141
123,9.239273
124,31.45822
125,14.73377
126,17.87185
127,10.755011
128,17.132195
129,1.0
130,11.842437
131,33.392853
132,9.991494
133,5.6206546
134,4.7491827
135,15.703027
136,10.808196
137,6.460483
138,11.237535
139,16.767656
140,19.70845
141,21.660126
142,8.068891
143,13.660341
144,12.872127
145,16.179735
146,13.207947
147,20.416304
148,32.108017
149,6.937416
150,39.661007
151,2.897542
152,30.085255
153,6.2932587
154,2.681408
155,35.518024
156,12.576515
157,14.604231
158,19.75473
159,6.7222977
160,7.7698116
161,9.67688
162,10.320771
163,24.792877
164,15.680433
165,2.9461334
166,19.374083
167,2.897542
168,2.5949597
169,12.963741
170,4.910451
171,16.10243
172,10.4182625
173,16.832306
174,16.178337
175,32.342113
176,21.586256
177,18.08361
178,7.101452
179,10.5081215
180,6.936497
181,24.677856
182,15.896374
183,6.9720883
184,7.8342357
185,21.711662
186,6.930611
187,24.872519
188,20.315187
189,21.773533
190,14.842009
191,34.001156
192,29.679441
193,16.18847
194,38.399574
195,30.875011
196,5.516581
197,11.502156
198,13.581958
199,30.108242
200,7.2436852
201,11.764419
202,7.5305405
203,20.301369
204,6.640874
205,22.21815
206,11.873535
207,6.19586
208,22.33111
209,21.710411
210,3.5326774
211,18.920847
212,17.189524
213,29.430445
214,35.41163
215,15.7867985
216,28.503092
217,4.39962
218,16.264423
219,3.790434
220,39.911274
221,5.1974187
222,7.83414
223,11.6160145
224,30.93304
225,10.563168
226,22.372831
227,29.340313
228,25.628422
229,10.07499
230,17.315487
231,10.397318
232,29.901688
233,20.082752
234,6.8200583
235,10.813443
236,26.726746
237,21.86961
238,13.777371
239,5.0657177
240,33.387344
241,20.03455
242,13.909531
243,6.338129
244,8.224247
245,2.724018
246,16.637636
247,22.200005
248,9.334549
249,16.903946
250,14.373355
251,7.76593
252,13.214589
253,27.877125
254,7.255002
255,9.805168
256,29.882473
257,20.009972
258,10.006408
259,7.407716
260,13.7050495
261,16.682
262,18.996199
263,20.575361
264,23.036522
265,5.829317
266,21.042257
267,7.0283947
268,21.91316
269,22.55815
270,14.052299
271,22.315998
272,29.04411
273,5.1772537
274,21.451782
275,30.500317
276,7.4230833
277,9.534101
278,34.991684
279,9.306295
280,7.3809423
281,2.922678
282,25.789795
283,18.712982
284,12.667577
285,16.12872
286,19.915047
287,3.941926
288,8.945688
289,39.32995
290,9.198196
291,35.58966
292,12.588262
293,17.441599
294,20.085758
295,17.13714
296,6.4440603
297,10.341129
298,17.549393
299,18.654575
300,7.394203
301,6.8770714
302,8.744077
303,6.8727403
304,5.659301
305,30.974003
306,9.989704
307,12.217088
308,14.580274
309,29.026115
310,8.548686
311,22.134382
312,11.53937
313,7.654916
314,24.651646
315,27.378963
316,29.46008
317,2.6205568
318,23.760635
319,31.737864
320,8.924136
321,6.072667
322,30.67099
323,25.262428
324,31.996828
325,4.7251644
326,1.6266232
327,21.158833
328,6.5832796
329,21.329998
330,12.693679
331,21.9572
332,20.007357
333,22.623833
334,8.458123
335,10.815178
336,28.75015
337,10.745402
338,27.878445
339,3.763857
340,37.6575
341,21.214584
342,9.193581
343,39.13038
344,33.075855
345,29.50413
346,11.12756
347,6.5968876
348,9.291995
349,15.46053
350,1.0
351,3.5356007
352,19.073488
353,9.902407
354,5.0743256
355,5.5941916
356,18.541338
357,23.405533
358,4.8207054
359,25.071545
360,29.3552
361,13.305649
362,3.9314816
363,14.002556
364,2.2209396
365,7.1844006
366,18.672852
367,20.925585
368,11.168208
369,29.082424
370,30.161667
371,29.88307
372,20.010109
373,30.271906
374,10.3223505
375,26.216301
376,12.307496
377,21.073147
378,33.569977
379,29.742176
380,12.138739
381,11.175676
