idx,time_delta
0,20.136444
1,21.451267
2,3.8614092
3,3.6684823
4,21.251253
5,20.173084
6,17.065817
7,16.178417
8,4.1514144
9,25.366083
10,5.741156
11,11.438737
12,1.0
13,9.468847
14,9.0682535
15,7.654168
16,1.0
17,3.165874
18,21.294666
19,9.206625
20,1.2882907
21,4.3158016
22,18.363638
23,3.5711164
24,24.220316
25,9.631868
26,3.3635626
27,23.173216
28,9.276411
29,2.4904299
30,3.76509
31,11.969678
32,8.086896
33,34.159874
34,15.847994
35,6.3418427
36,20.704357
37,1.0
38,29.497631
39,1.0
40,6.379997
41,11.066672
42,7.982669
43,3.1193638
44,11.194115
45,18.262123
46,2.7166967
47,16.85963
48,24.052258
49,4.1334243
50,7.068685
51,27.630917
52,9.271474
53,13.448972
54,3.215497
55,23.526283
56,1.0
57,3.478675
58,11.55064
59,1.537293
60,2.804617
61,6.207391
62,5.684661
63,13.1021805
64,12.612807
65,11.734111
66,15.995535
67,1.0
68,9.307455
69,3.3671253
70,8.681399
71,18.457325
72,1.0
73,18.805477
74,18.751787
75,11.799955
76,15.742304
77,3.1098144
78,24.57633
79,19.020023
80,14.815059
81,22.603666
82,16.055944
83,15.515358
84,6.6321917
85,14.08168
86,5.668236
87,6.4819145
88,1.0
89,1.0
90,4.8945036
91,4.9658
92,8.839671
93,7.2905436
94,23.235542
95,5.837122
96,13.223387
97,32.662415
98,6.5623145
99,4.3278794
100,4.460066
101,1.2818842
102,8.689911
103,2.6134605
104,1.0
105,1.0
106,7.9417987
107,3.414631
108,27.798534
109,22.899864
110,17.806658
111,17.39851
112,32.33388
113,16.527433
114,30.590603
115,19.983772
116,17.873857
117,22.71378
118,13.725382
119,1.0
120,3.3477707
121,7.7744937
122,1.2890062
123,14.772546
124,21.620266
125,6.9511175
126,15.869285
127,13.901075
128,7.0416174
129,5.5543528
130,11.190318
131,23.920158
132,11.848623
133,2.4883318
134,1.0
135,13.547292
136,1.777009
137,1.8613157
138,6.0271616
139,14.294977
140,21.698671
