idx,time_delta
0,14.881525
1,26.039959
2,1.0
3,4.5599613
4,24.231916
5,26.841877
6,21.150229
7,12.755991
8,1.0
9,23.644428
10,5.458683
11,7.9280515
12,1.0
13,11.007285
14,8.965688
15,8.039786
16,1.8441525
17,2.7770586
18,18.117764
19,10.295268
20,1.0
21,2.1155062
22,23.047743
23,1.6539516
24,25.348183
25,11.9302025
26,3.9603024
27,20.436968
28,7.4125557
29,1.0
30,4.8817606
31,11.70362
32,12.735122
33,31.398205
34,13.950928
35,9.35837
36,16.66774
37,1.9697504
38,26.929024
39,1.0
40,6.6192045
41,10.9394865
42,2.5318413
43,4.9179564
44,14.679347
45,13.703986
46,5.656991
47,21.441973
48,18.559586
49,4.494614
50,2.4865234
51,25.423115
52,2.9870439
53,15.249861
54,1.0
55,16.453827
56,1.0
57,4.730609
58,13.66985
59,3.9604263
60,4.356622
61,5.110511
62,1.4943011
63,16.107056
64,10.79961
65,13.35797
66,10.31964
67,1.0
68,2.639781
69,1.0
70,9.365781
71,18.025087
72,6.348566
73,25.082401
74,20.78976
75,18.36713
76,9.067791
77,11.04612
78,22.642582
79,22.714413
80,15.477305
81,21.287767
82,20.204529
83,18.48399
84,3.3583212
85,12.9798765
86,3.2475243
87,6.668099
88,4.2146196
89,6.5575705
90,4.4164257
91,10.218527
92,10.06138
93,8.47761
94,26.469383
95,12.814141
96,12.797763
97,32.75434
98,1.0
99,5.9271197
100,3.6286068
101,5.334443
102,7.8475966
103,1.0
104,4.143756
105,2.2108774
106,1.0
107,7.360223
108,19.596956
109,20.78305
110,17.15306
111,19.077604
112,32.3237
113,15.861647
114,30.085585
115,19.130722
116,16.833282
117,23.851074
118,13.158955
119,9.091377
120,3.6638088
121,10.011902
122,2.9577122
123,10.162961
124,23.517967
125,9.8864155
126,17.339212
127,11.257605
128,3.9673486
129,6.320385
130,9.482996
131,15.811651
132,8.856367
133,4.224716
134,1.0
135,14.66011
136,1.0
137,2.08397
138,6.376498
139,15.50551
140,31.696
141,19.920948
142,7.417899
143,13.354056
144,13.447144
145,13.560333
146,10.39347
147,20.786207
148,30.819952
149,4.818989
150,21.478947
151,2.605833
152,18.774189
153,9.225185
154,1.0
155,27.763348
156,2.9066038
157,4.2681475
158,14.916699
159,4.9517546
160,2.7512765
161,6.888442
162,3.233552
163,22.431116
164,15.790459
165,1.0
166,19.721823
167,1.0
168,1.0
169,3.995594
170,9.321566
171,11.60343
172,7.091118
173,16.00876
174,16.766312
175,15.246107
176,17.325195
177,17.440842
178,4.3386793
179,2.9182272
180,3.4347827
181,22.588966
182,5.0379124
183,8.113137
184,7.584433
185,22.571869
186,4.7872157
187,31.195892
