idx,time_delta
0,23.177204
1,30.363594
2,6.890835
3,4.950899
4,26.48808
5,20.167114
6,18.16829
7,11.55872
8,5.072218
9,31.258278
10,6.811669
11,6.2499623
12,4.7746415
13,12.23834
14,8.69694
15,8.913289
16,1.993578
17,3.8256264
18,16.562666
19,13.812681
20,1.5555552
21,4.948436
22,16.691525
23,2.3808756
24,25.467323
25,6.7672334
26,11.807996
27,25.241138
28,10.492128
29,2.8373206
30,14.995758
31,9.45978
32,6.070246
33,30.77405
34,12.730307
35,10.009901
36,23.700748
37,1.0
38,25.99338
39,2.9101005
40,11.3705845
41,21.389652
42,12.381016
43,1.0
44,9.103374
45,16.579983
46,3.8221264
47,16.427473
48,23.310442
49,3.7473853
50,4.206242
51,21.886013
52,15.3285885
53,19.267574
54,4.18874
55,15.643303
56,2.4847853
57,1.7217827
58,26.350428
59,5.3144026
60,5.801609
61,15.956388
62,4.5954833
63,16.937881
64,15.986382
65,16.768572
66,16.434181
67,3.118722
68,7.1648135
69,5.540826
70,7.6818385
71,26.750216
72,1.5309391
73,24.880127
74,16.324415
75,14.363505
76,19.30453
77,9.145069
78,19.196222
79,24.530178
80,21.55178
81,18.504642
82,19.73663
83,17.842459
84,6.976906
85,20.608181
86,7.7196655
87,6.926543
88,1.0
89,1.1917868
90,9.192139
91,13.43518
92,8.306174
93,7.0332384
94,23.080692
95,7.8549314
96,13.314031
97,32.598534
98,8.213934
99,10.358355
100,8.138423
101,1.7530594
102,8.24359
103,3.8622484
104,9.780194
105,1.677948
106,7.2037067
107,6.345782
108,23.106377
109,37.91529
110,19.259794
111,17.290802
112,32.44657
113,14.828773
114,25.423874
115,14.156238
116,21.220942
117,26.294565
118,29.872
119,2.0462818
120,4.689333
121,22.400383
122,6.3328114
123,6.111607
124,26.785728
125,9.145943
126,14.808496
127,13.424784
128,12.539902
129,1.3614712
130,9.651811
131,28.365097
132,8.72139
133,4.584962
134,1.1178455
135,14.088946
136,8.469205
137,3.0312767
138,10.479971
139,15.231808
140,17.956844
141,19.454071
142,7.4801702
143,11.946186
144,12.132977
145,16.1545
146,10.833761
147,19.291882
148,28.438572
149,4.2979136
150,31.278427
151,1.4180946
152,25.037285
153,4.978302
154,1.0
155,33.121536
156,9.003834
157,11.589626
158,19.863062
159,3.8166819
160,5.6187735
161,10.063726
162,10.8922825
163,24.11573
164,13.497247
165,1.6400759
166,18.84656
167,1.0
168,1.120261
169,11.909716
170,4.1404543
171,12.849653
172,8.970999
173,16.055262
174,14.577438
175,28.733444
176,18.33723
177,17.030682
178,5.033972
179,10.739772
180,5.0104513
181,22.078033
182,10.385741
183,4.8984156
184,5.941232
185,18.793013
186,5.5069256
187,23.999727
188,18.757496
189,20.358273
190,11.840022
191,33.06375
192,22.269989
193,13.780761
194,37.65423
195,28.702114
196,6.581466
197,9.954869
198,12.240493
199,30.88131
200,6.3774624
201,8.660489
202,5.8160057
203,18.771582
204,4.766671
205,18.24556
206,10.896206
207,1.37432
208,21.342651
209,18.69009
210,2.2005906
211,18.999876
212,15.491727
213,26.504116
214,31.237955
215,13.836256
216,24.592665
217,1.0
218,15.237019
219,1.0
220,33.406914
221,2.8492064
222,5.063219
223,7.59
224,28.273514
225,8.517626
226,20.274485
227,27.551579
228,22.883831
229,8.016759
230,16.443354
231,8.56646
232,30.818365
233,18.853556
234,5.7864327
235,8.644192
236,24.026299
237,19.757233
238,12.322871
239,2.913456
240,32.39875
241,21.99085
242,13.737911
243,4.7823973
244,7.033393
245,1.0
246,12.611473
247,21.903934
248,5.0284157
249,14.108219
250,11.410775
251,7.9383636
252,12.091097
253,24.458097
254,6.914821
255,7.267498
256,32.674046
257,18.779377
258,7.082546
259,4.91214
260,9.740372
261,15.487623
262,18.753567
263,16.425537
264,22.823921
265,5.041896
266,17.701101
267,7.115371
268,17.766386
269,27.770145
270,13.093913
271,19.122097
272,26.10635
273,3.4948335
274,19.811893
275,27.588013
276,3.7928934
277,5.8721066
278,29.48437
279,7.3006864
280,3.9461575
281,2.8044786
282,25.574873
283,17.254974
284,11.880351
285,15.32041
286,15.972565
287,3.4008148
288,9.019482
289,32.134197
290,7.436605
291,33.04984
292,9.452738
293,15.992891
294,18.188168
295,14.441858
296,4.2112417
297,8.888918
298,15.806241
299,15.754185
300,4.363492
301,6.864995
302,6.394621
303,5.4995627
304,5.4368486
305,29.652012
306,8.680006
307,11.1947975
308,11.0310135
309,26.325006
310,7.6957693
311,21.0339
312,13.85245
313,6.044072
314,18.08688
315,29.427435
316,26.066746
317,2.4577165
318,22.343782
319,28.764473
320,5.9041176
321,3.1868925
322,28.529194
323,25.132385
324,27.272476
325,2.6445427
326,2.4864159
327,19.817993
328,6.2661114
329,21.00137
330,9.524903
331,19.888838
332,15.916777
333,20.974083
334,4.347189
335,9.708025
336,26.863844
337,9.578514
338,26.56915
339,4.853479
340,37.799194
341,20.148943
342,8.419973
343,35.79104
344,27.0625
345,25.556463
346,11.648763
347,3.7915993
348,7.5857773
349,12.532833
350,1.0
351,2.057238
352,17.001562
353,7.6141257
354,4.124755
355,5.73461
356,16.466301
357,19.302841
358,1.7730293
359,23.496372
360,24.654385
361,12.7224865
362,2.4823809
363,11.7853775
364,1.3802137
365,4.789342
366,16.484676
367,19.397427
368,10.423775
369,24.101969
370,28.949467
371,29.65433
372,19.025635
373,29.280191
374,7.9860196
375,24.59521
376,9.960638
377,19.042398
378,30.176323
379,25.881424
380,11.962247
381,10.471524
382,13.252517
383,6.227693
384,36.479095
385,8.752633
386,19.571838
387,14.728937
388,31.036213
389,5.1901464
390,4.062968
391,14.996055
392,13.306043
393,13.186223
394,10.632551
395,1.0
396,12.51339
397,2.1638374
398,32.804756
399,27.4383
400,19.64563
401,12.3872175
402,11.640073
403,23.458038
404,7.419441
405,6.121837
406,12.791273
407,7.9419937
408,6.9883814
409,26.577953
410,35.776566
411,22.415562
412,33.579967
413,8.554613
414,31.469093
415,6.497987
416,17.073061
417,34.414005
418,2.6824715
419,6.1788044
420,24.578236
421,1.3089218
422,5.8908005
423,14.475445
424,30.46569
425,4.852785
426,24.741165
427,20.22085
428,5.9243875
429,9.741147
430,10.977418
