idx,time_delta
0,25.057869
1,28.071316
2,8.378659
3,5.128705
4,21.828186
5,18.22659
6,15.633735
7,11.849692
8,6.892623
9,32.44547
10,6.730239
11,9.33313
12,5.932457
13,11.497393
14,9.055471
15,9.290505
16,1.2282038
17,3.9790473
18,16.999783
19,11.367019
20,3.2195468
21,6.9559307
22,16.976698
23,5.454566
24,24.587048
25,1.6603527
26,12.217366
27,30.471592
28,12.511391
29,2.9301853
30,12.789126
31,8.301999
32,5.84978
33,26.725945
34,12.032017
35,9.782327
36,27.446201
37,1.3107576
38,24.439386
39,4.051201
40,12.273062
41,22.044735
42,11.756572
43,1.0
44,6.82637
45,18.096935
46,6.0860205
47,13.313606
48,28.325245
49,3.5005698
50,7.974321
51,22.93898
52,14.247338
53,19.191936
54,3.3971672
55,15.098142
56,2.1910934
57,4.7724533
58,26.749687
59,4.7660217
60,3.6517525
61,19.583168
62,6.4387226
63,14.079366
64,16.920523
65,15.965937
66,14.751591
67,2.9305058
68,10.130954
69,6.939049
70,8.96843
71,27.708977
72,1.0
73,23.828146
74,14.306811
75,12.160242
76,21.541668
77,7.9817333
78,17.38388
79,18.838015
80,20.163965
81,17.615246
82,15.53948
83,18.380236
84,10.622228
85,23.165844
86,10.277536
87,8.011924
88,1.6544878
89,1.0
90,6.821966
91,11.723278
92,10.54433
93,4.943601
94,23.038864
95,5.1273184
96,11.528032
97,30.793911
98,6.7106686
99,9.778643
100,8.985028
101,1.737442
102,11.889042
103,3.12773
104,10.020943
105,3.3290405
106,6.665661
107,4.99225
108,22.225426
109,36.995865
110,15.3734865
111,14.590523
112,33.51883
113,15.585692
114,24.902328
115,12.957855
116,18.92357
117,29.628975
118,27.369694
119,1.8254442
120,4.312422
121,21.362885
122,5.823596
123,4.283645
124,30.579458
125,11.367802
126,15.58919
127,14.843304
128,13.585649
129,1.0
130,9.25071
131,27.695976
132,8.385604
133,4.5310793
134,1.0
135,14.549351
136,9.648878
137,5.13661
138,7.6719203
139,16.775127
140,18.211119
141,17.655437
142,5.915785
143,10.730373
144,9.036629
145,13.178431
146,10.259926
147,19.023308
148,27.343773
149,4.9608555
150,33.824196
151,2.121191
152,31.18203
153,5.1914577
154,1.0879836
155,38.17563
156,12.20319
157,11.12787
158,20.111843
159,11.452
160,8.061879
161,8.74439
162,4.8127384
163,22.918491
164,12.782997
165,1.828299
166,18.07243
167,3.866314
168,2.109398
169,14.252392
170,4.0531807
171,12.061682
172,8.750852
173,14.60014
174,15.209769
175,30.978773
176,16.20695
177,13.755191
178,3.6850576
179,7.292038
180,4.689553
181,20.941067
182,11.603545
183,3.8368845
184,6.0547996
185,18.375664
186,5.513008
187,23.613136
188,18.783468
189,18.961945
190,10.21167
191,29.435059
192,23.672245
193,12.100708
194,40.372242
195,26.617676
196,5.474702
197,9.052624
198,12.120247
199,31.742647
200,8.340425
201,8.66349
202,5.702197
203,19.155613
204,4.910366
205,20.36338
206,9.692101
207,2.491765
208,21.142984
209,20.992723
210,3.1889038
211,17.969112
212,14.67618
213,26.735016
214,33.25068
215,15.700269
216,24.95288
217,3.7884169
218,14.339408
219,1.0
220,34.699768
221,3.1058176
222,5.416436
223,10.807899
224,26.981443
225,7.67179
226,16.114145
227,28.611465
228,21.636734
229,5.240459
230,16.514503
231,7.1667447
232,29.486164
233,19.237263
234,5.6012783
235,10.254096
236,28.484924
237,23.833672
238,14.6448765
239,3.6457849
240,28.313896
241,20.94009
242,11.55204
243,5.915389
244,5.70481
245,1.0
246,10.247198
247,21.84188
248,8.917218
249,15.688993
250,13.70171
251,7.350415
252,8.168228
253,27.039139
254,5.6130505
255,5.912706
256,28.468987
257,19.453825
258,9.619478
259,4.4409714
260,14.616932
261,15.389908
262,14.644203
263,17.841812
264,22.649147
265,4.1387453
266,16.709133
267,6.6506124
268,16.51663
269,27.266167
270,11.316115
