idx,time_delta
0,15.156296
1,24.936783
2,1.3027439
3,1.6651897
4,23.059505
5,21.063879
6,17.161861
7,11.890579
8,1.0
9,26.291111
10,5.1908665
11,8.470461
12,1.5086818
13,10.961726
14,8.84322
15,6.691844
16,1.0215406
17,2.6707635
18,12.90674
19,10.995197
20,2.7586489
21,3.2545786
22,16.860819
23,1.0
24,26.950073
25,4.9466543
26,2.1449718
27,21.009043
28,8.279853
29,1.0
30,7.848279
31,10.950561
32,7.202891
33,29.884048
34,12.70141
35,7.184472
36,18.554766
37,1.0
38,24.836569
39,1.0
40,8.596941
41,18.369576
42,7.5488105
43,1.0680246
44,10.785026
45,15.186606
46,1.492156
47,16.726816
48,20.804445
49,3.1628852
50,4.5089297
51,18.378824
52,9.33515
53,19.755566
54,3.97185
55,16.84491
56,2.5099
57,1.0
58,19.45187
59,1.0
60,1.6648808
61,7.8449507
62,6.8935623
63,12.529322
64,13.642159
65,16.326153
66,14.061105
67,2.7652779
68,6.1715937
69,2.9807703
70,8.68792
71,17.572544
72,1.0
73,23.287285
74,14.518653
75,10.093813
76,19.454838
77,8.074023
78,19.773804
79,21.092407
80,17.443014
81,20.227762
82,19.310444
83,16.995773
84,2.0283146
85,19.074661
86,3.0412045
87,8.019191
88,1.0
89,1.0
90,1.0
91,9.866552
92,8.579422
93,8.371612
94,17.650347
95,7.8859463
96,12.201427
97,30.728336
98,1.0
99,5.0625687
100,2.5102844
101,1.0
102,8.946503
103,4.702432
104,7.008774
105,1.0
106,8.089107
107,5.5397735
108,22.666538
109,26.334621
110,17.321198
111,17.139
112,30.105295
113,12.306221
114,27.433886
115,15.810416
116,17.053759
117,24.435177
118,19.358192
119,1.0
120,1.037426
121,16.634506
122,1.0
123,6.876425
124,22.180275
125,9.994059
126,11.815827
127,12.6657295
128,10.221371
129,1.6805325
130,8.819583
131,19.539408
132,5.649084
133,1.8036122
134,1.0
135,12.639391
136,2.2975225
137,1.0
138,7.668663
139,12.538379
140,17.890287
141,15.0773
142,6.265382
143,11.366234
144,12.754902
145,13.089436
146,10.3885355
147,21.616495
148,27.13789
149,3.6907246
150,25.17025
151,1.0
152,20.984575
153,4.2057667
154,1.0
155,31.99057
156,4.6426926
157,6.7706337
158,15.052046
159,3.4156857
160,5.740752
161,9.550396
162,4.854204
163,22.28521
164,15.67198
165,1.0
166,18.309412
167,1.0
168,1.0
169,4.5222006
170,3.881466
171,13.0898285
172,4.542326
173,14.896385
174,15.276474
175,27.811798
176,19.05523
177,17.25376
178,1.0
179,3.1673737
180,3.9195194
181,17.93621
182,8.893366
183,3.586481
184,6.812974
185,21.2696
186,2.5646296
187,23.32138
188,15.561457
189,17.117327
190,8.480688
191,28.956543
192,18.931807
193,14.139087
194,28.581905
195,16.301214
196,1.0
197,8.52772
198,14.053828
199,29.231339
200,1.65275
201,8.874332
202,4.058331
203,20.350258
204,1.1085893
205,13.177383
206,9.213768
207,1.0
208,22.79218
209,16.609613
210,1.0
211,14.041464
212,15.271406
213,24.304634
214,24.313107
215,16.991829
216,19.173399
217,1.0
218,14.755413
219,1.3674488
220,28.611935
221,1.0
222,2.6741362
223,2.514708
224,28.560793
225,8.051578
226,17.890442
227,30.744644
228,17.150652
229,3.0199995
230,17.288631
231,10.589899
232,28.753845
233,16.747501
234,4.6196184
235,9.340525
236,19.184072
237,17.61385
238,14.448574
239,1.3919637
240,27.883991
241,22.147112
242,12.003981
243,2.8761559
244,4.546117
245,1.0
246,16.405891
247,18.278751
248,6.1452484
249,13.766786
250,12.188793
251,5.3229666
252,12.432799
253,20.006508
254,4.881539
255,7.8600874
256,27.489876
257,17.8478
258,6.213649
259,1.0
260,8.584254
261,16.091406
262,17.098532
263,20.252567
264,19.252068
265,1.3695545
266,11.110697
267,4.9108534
268,13.521267
269,19.556667
270,10.802107
271,18.066109
272,18.248802
273,1.9286342
274,20.698004
275,17.736444
276,1.0
277,3.7019606
278,28.717554
279,5.685856
280,2.5447464
281,1.0
282,20.175575
283,15.487764
284,10.738997
285,16.708597
286,13.663574
287,1.6716661
288,7.311539
289,24.414202
290,8.304936
291,24.269234
292,2.8478937
293,19.449327
294,19.581093
295,19.66753
296,2.102706
297,8.996919
298,13.367572
299,18.208033
300,1.8946981
301,4.552845
302,5.4545817
303,3.4163933
304,3.3711362
305,21.226309
306,6.9953303
307,8.148172
308,2.574669
