idx,time_delta
0,23.460304
1,30.188183
2,2.8029804
3,1.0964947
4,23.918018
5,20.629509
6,16.819769
7,15.427034
8,4.5236497
9,31.540684
10,4.4112463
11,9.070689
12,3.6764908
13,9.939442
14,11.548969
15,7.493108
16,1.0
17,2.1342278
18,16.195208
19,11.943245
20,1.0
21,2.939927
22,17.365255
23,1.0
24,26.23072
25,7.0793586
26,9.089494
27,23.649847
28,6.817792
29,2.2735364
30,4.163807
31,9.568752
32,6.367228
33,27.871078
34,14.049911
35,6.2213087
36,19.45354
37,1.0
38,25.053465
39,1.8630366
40,6.7630367
41,21.53331
42,9.444469
43,1.0
44,7.5570006
45,15.938781
46,6.1985626
47,13.540113
48,18.704082
49,3.6646428
50,3.6091049
51,18.566782
52,9.126659
53,16.878605
54,1.8901348
55,17.562344
56,1.9637197
57,1.2430344
58,19.3264
59,6.5990467
60,5.8254623
61,11.443547
62,5.6727014
63,8.854298
64,16.57896
65,14.263967
66,11.800055
67,1.0
68,7.225812
69,1.190162
70,7.749183
71,25.781023
72,3.5227814
73,23.195412
74,16.373281
75,13.84692
76,18.727333
77,7.536687
78,18.531572
79,22.441751
80,18.084824
81,17.6244
82,19.383282
83,18.139444
84,3.2034564
85,18.665
86,8.250988
87,8.86944
88,1.0
89,1.0
90,2.7192478
91,7.5821733
92,7.710077
93,6.478169
94,21.780403
95,6.4940333
96,13.611122
97,31.09169
98,7.5997763
99,7.1922064
100,5.0664053
101,1.0
102,7.0770097
103,6.0764627
104,2.5415869
105,3.380581
106,5.949097
107,2.0620089
108,23.036354
109,29.839434
110,16.501537
111,19.516647
112,30.241186
113,12.147982
114,25.612425
115,12.065365
116,19.039295
117,20.60232
118,22.365627
119,1.0
120,3.799715
121,19.625195
122,4.72383
123,6.549456
124,18.200792
125,11.914413
126,12.822655
127,12.390856
128,11.35232
129,1.0
130,5.690299
131,31.282402
132,7.2580843
133,1.8639684
134,4.24354
135,16.244596
136,5.790468
137,1.4851589
138,9.13287
139,11.361374
140,19.451744
141,16.985592
142,6.153439
143,11.351654
144,12.583701
145,12.647863
146,10.765899
147,19.205605
148,27.049187
149,5.15923
150,31.017761
151,1.0
152,21.319466
153,4.9086347
154,1.1028028
155,31.184032
156,3.0652938
157,2.9087286
158,15.1253805
159,2.8283806
160,6.297719
161,7.234838
162,1.3904982
163,23.453388
164,11.372691
165,1.0
166,20.042187
167,2.3554554
168,1.0
169,8.498708
170,5.5286093
171,14.562052
172,6.7233586
173,14.87492
174,13.364485
175,28.706064
176,18.675598
177,14.950945
178,4.2536736
179,3.0275068
180,6.0100317
181,21.082987
182,11.7655735
183,4.009001
184,7.2597623
185,19.179705
186,2.504004
187,21.860893
188,20.08154
189,16.288603
190,11.630538
191,27.899292
192,23.42368
193,12.291526
194,30.492233
195,19.690298
196,3.915697
197,9.025816
198,14.130688
199,27.121983
200,1.0
201,10.739448
202,4.5247474
203,18.010746
204,2.3439429
205,19.931623
206,8.1993065
207,6.5071697
208,23.286785
209,18.511818
210,1.7355208
211,17.41689
212,16.418676
213,23.137262
214,27.183926
215,14.616325
216,25.305412
217,4.713647
218,14.184254
219,3.2360382
220,31.84068
221,1.8382367
222,8.798323
223,6.004115
224,28.266018
225,9.270567
226,18.615152
227,25.975578
228,20.951553
229,7.638034
230,13.869228
231,8.12073
232,28.137703
233,17.11447
234,5.4164324
235,9.920354
236,23.434525
237,15.6038
238,16.883661
239,2.0637207
240,29.764767
241,17.534342
242,11.615586
243,4.3830223
244,6.8617973
245,3.1092072
246,13.079849
247,18.85455
248,7.892476
249,13.7073965
250,10.086975
251,3.9851942
252,13.114309
253,22.784037
254,4.6701503
255,6.659646
256,29.019066
257,17.824745
258,5.5329676
259,5.6523685
260,7.1112995
261,17.8047
262,17.987143
263,17.080944
264,18.985565
265,7.0596066
266,16.06855
267,6.8883705
268,14.256967
269,20.777994
270,10.936063
271,20.334991
272,27.263721
273,1.0
274,20.937714
275,23.62775
276,5.1804657
277,7.233326
278,32.642822
279,7.8361473
280,5.979973
281,2.712677
282,26.058056
283,16.570456
284,9.391473
285,13.573288
286,12.261999
287,3.2084873
288,8.677394
289,30.671862
290,8.962923
291,28.145615
292,7.428672
293,17.413492
294,20.72888
295,13.374127
296,3.2004938
297,10.402656
298,13.749032
299,20.489979
300,1.9240265
301,2.8420992
302,5.536448
303,4.684472
304,5.947825
305,21.109005
306,10.111527
307,8.127071
308,2.906042
309,24.974678
310,7.034543
311,20.465395
312,10.560751
313,3.5570984
314,18.37371
315,24.989414
316,18.328531
317,2.263513
318,17.754738
319,28.594582
320,7.1341457
321,2.9726686
322,23.496243
323,22.93414
324,26.9636
325,3.5551186
326,1.0
327,19.81999
328,2.2516985
329,22.336794
330,4.8131685
331,23.338764
332,11.476269
333,22.067268
334,4.643054
335,5.326356
336,26.584242
337,7.8033204
338,27.325409
339,3.1733828
340,28.043362
341,20.523813
342,8.333902
343,29.946142
344,25.899572
345,26.475769
346,6.915121
347,4.7359285
348,6.0141115
349,13.591217
350,1.0
351,1.0
352,16.782804
353,4.1491156
354,3.4393418
355,6.0499945
356,19.834957
357,17.813143
358,5.735219
359,20.285637
360,22.55211
361,11.946489
362,2.9680045
363,9.420191
364,2.2307281
365,3.9720716
366,15.665951
367,22.805174
368,8.710436
369,25.90662
370,22.345741
371,20.550318
372,17.977852
373,28.182335
374,7.9089866
375,21.424345
376,5.8254967
377,20.635086
378,27.30228
379,22.567303
380,11.861834
381,10.389218
382,11.40979
383,5.0887566
384,32.91006
385,10.408268
386,24.608522
387,10.685711
388,29.92514
389,2.9728975
390,4.9441814
391,13.162485
392,12.604694
393,12.561301
394,10.344779
395,1.0889616
396,8.527917
397,3.556507
398,31.865576
399,24.626568
400,12.128418
401,10.388153
402,9.51279
403,23.278748
404,5.096137
405,8.125454
406,12.5430765
407,6.167622
408,5.524722
409,24.866337
410,31.881868
411,21.575523
412,33.859215
413,1.0
414,25.972761
415,2.3358686
416,9.729621
417,31.556763
418,3.5499177
419,5.854752
420,23.735401
421,1.0
422,3.7592783
423,15.681949
424,24.88268
425,1.0
426,22.350332
427,17.59271
428,3.7130966
429,7.013171
430,11.618594
431,1.0
432,9.75503
433,10.993238
434,31.473099
435,7.303462
436,9.94803
437,3.6519072
438,22.313122
439,13.18868
440,1.9736385
441,3.9337425
442,10.415855
443,26.47126
444,16.565292
445,13.108923
446,11.325198
447,3.6932583
448,3.9530623
449,12.103747
450,7.2554846
451,1.0
452,13.772328
453,8.068854
454,12.744413
455,22.81771
456,11.876808
457,3.7377844
458,30.66996
459,14.924175
460,3.0422192
461,23.715855
462,17.560738
463,2.234633
464,4.079167
465,10.284348
466,3.3950415
467,12.183622
468,17.016354
469,5.20986
470,1.4732461
471,18.491316
472,4.106805
473,1.2590771
474,7.559207
475,13.019544
476,21.587704
477,26.117939
478,15.010942
479,4.612157
480,19.849228
481,9.433111
482,7.0496216
483,26.85701
484,13.153435
485,1.0
486,7.4577675
487,5.3954563
488,6.614994
489,11.8660965
490,2.2942886
491,2.8986387
492,22.992126
493,27.574299
494,23.768711
495,34.650414
496,4.82635
497,17.54667
498,23.268396
499,5.8076878
500,11.286804
501,21.185143
502,1.6594365
503,6.8527584
504,14.022863
505,4.796173
506,17.52728
507,7.1770983
508,1.0
509,3.4954743
510,6.207812
511,6.301036
512,22.493343
513,26.178207
514,4.2947855
515,22.514086
516,10.039301
517,5.5195217
518,27.925835
519,1.0
520,4.4304667
521,19.885096
522,26.355085
523,26.079456
524,27.79213
525,7.8876085
526,13.86364
527,13.155041
528,24.54697
529,16.444569
530,13.5988
531,1.9791718
532,3.7019196
533,15.931879
534,5.107149
535,7.508765
536,10.491704
537,9.297453
538,7.280779
539,11.198124
540,10.089696
541,20.929008
542,6.639352
543,22.989243
544,4.2796593
545,1.0
546,9.862067
547,14.977882
548,15.281971
549,4.2377415
550,1.0
551,25.343655
552,5.154683
553,37.189728
554,6.3449774
555,2.753251
556,12.148298
557,1.3552027
558,17.800663
559,15.097462
560,9.663376
561,4.3026485
562,25.563673
563,3.3286479
564,10.890819
565,14.994532
566,2.9256516
567,19.356956
568,1.0
569,25.42386
570,16.788967
571,32.154102
572,13.528965
573,5.8723154
574,7.1987853
575,18.722431
576,4.766181
577,8.674582
578,7.6599836
579,15.730879
580,16.69842
581,14.829375
582,15.059151
583,23.90292
584,10.948553
585,8.886208
586,5.9303226
587,2.89322
588,9.887524
589,5.91422
590,12.304312
591,11.396356
592,10.870552
593,3.7464442
594,7.5748324
595,24.270134
596,2.707403
597,15.493096
598,3.935233
599,11.614234
600,12.013933
601,15.134254
602,9.526855
603,1.0
604,27.118858
605,10.1155615
606,1.9767237
607,11.029073
608,4.194458
609,6.290883
610,9.78919
611,20.71161
612,13.219477
613,4.4726243
614,2.932311
615,10.518844
616,12.875776
617,9.091799
618,6.5947094
619,10.608589
620,19.118061
621,12.017645
622,5.136037
623,15.644778
624,7.451219
625,6.4557304
626,14.673908
627,16.26619
628,1.0
629,18.670473
630,31.78684
631,8.382213
632,12.691635
633,10.596944
634,16.004166
635,13.076091
636,15.804835
637,28.413937
638,11.631084
639,18.126186
640,10.651716
641,2.138338
642,5.927778
643,8.206631
644,17.898958
645,11.795675
646,28.897524
647,6.358259
648,8.466879
649,1.5241854
650,1.8280311
651,18.60123
652,9.556735
653,2.6997519
654,9.063317
655,11.09398
656,10.838921
657,14.585955
658,21.738956
659,19.038364
660,10.566252
661,20.05517
662,3.5285673
663,19.406914
664,16.673256
665,1.0844707
666,4.3322215
667,3.795608
668,10.5337305
669,13.820877
670,4.950495
671,1.8909702
672,3.4317653
673,18.173847
674,9.287378
675,10.5909
676,33.204388
677,1.0
678,9.172418
679,3.1789536
680,15.170801
681,12.740421
682,1.3265762
683,14.364907
684,5.700609
685,1.5805855
686,1.5148811
687,26.231703
688,12.422219
689,2.1673079
690,15.93255
691,26.846355
692,9.366266
693,3.2737017
694,16.391457
695,16.660767
696,19.21829
697,10.158362
698,11.189403
699,1.6632824
700,7.000023
701,12.01657
702,16.229387
703,7.151302
704,12.578019
705,2.4897652
706,21.570753
707,4.0401154
708,14.763767
709,9.038337
710,9.846088
711,1.0
712,22.59794
713,1.6385713
714,1.0
715,4.487171
716,1.6748676
717,18.076931
718,1.5612159
719,14.15
720,13.114273
721,3.0002108
722,11.067797
723,31.466984
724,25.068981
725,12.436428
726,10.75909
727,1.8445158
728,8.534309
729,13.0521145
730,15.590639
731,31.702677
732,21.540922
733,1.8801625
734,1.0
735,32.026306
736,14.942025
737,27.29794
738,2.6533494
739,15.452002
740,28.4096
741,9.281195
742,20.324142
743,7.4654818
744,2.609222
745,5.6302586
746,2.4896808
747,15.596056
748,7.9987726
749,23.712292
750,13.092306
751,2.3903904
752,1.0934582
753,9.070649
754,1.7630816
755,6.4604855
756,12.785948
757,22.168476
758,1.6010828
759,5.0765653
760,14.597837
761,24.884272
762,17.264069
763,8.1096325
764,2.190397
765,4.6335163
766,5.7024593
767,25.559612
768,7.3399134
769,12.705914
770,2.337305
771,28.582748
772,1.0
773,1.0
774,26.115635
775,29.466
776,28.993193
777,22.72344
778,19.869364
779,19.587511
780,19.114466
781,13.99488
782,9.041939
783,2.5256138
784,4.5916386
785,1.0
786,9.9078045
787,21.355515
788,8.017895
789,11.929178
790,4.525498
791,6.685483
792,7.993494
793,21.399841
794,3.6130505
795,4.061408
796,1.0
797,4.950084
798,14.230381
799,23.016815
800,21.363224
801,22.886911
802,1.3614855
803,15.570576
804,1.7129707
805,11.531968
806,9.246597
807,16.43228
808,12.651723
809,2.5658798
810,3.7393537
811,1.6375879
812,9.313263
813,6.605772
814,6.075781
815,3.5767193
816,12.944179
817,9.552101
818,8.144188
819,14.297314
820,17.19063
821,23.370934
822,25.160496
823,3.435414
824,7.171129
825,2.0149546
826,13.465534
827,14.478965
828,25.220308
829,6.0096817
830,8.900257
831,20.101198
832,29.837318
833,20.58717
834,7.078847
835,8.445016
836,16.053612
837,7.176421
838,2.1489582
839,3.8377147
840,14.238877
841,10.939428
842,2.0295124
843,27.750526
844,19.52475
845,21.19897
846,5.7840137
847,2.6329727
848,4.1243258
849,7.2825203
850,7.673398
851,12.442717
852,14.751195
853,19.264854
854,6.3374405
855,4.856418
856,8.340555
857,2.3273869
858,15.547099
859,22.460258
860,11.693533
861,9.375818
862,14.499327
863,15.761742
864,16.754726
865,12.720596
866,6.7116337
867,18.832603
868,16.868923
869,21.114565
870,7.8799715
871,20.13965
872,7.3817167
873,5.9043036
874,3.925294
875,5.2107315
876,13.793637
877,4.0116444
878,11.141478
879,28.437733
880,1.3381634
881,10.896578
882,6.8303413
883,4.567012
884,1.0
885,18.146809
886,10.389932
887,2.9813223
888,16.38282
889,5.0510483
890,14.21053
891,28.359058
892,3.500741
893,30.449972
894,15.815634
895,26.498692
896,14.457028
897,9.33194
898,9.837903
899,1.0
900,6.5242586
901,6.326673
902,19.132084
903,1.0
904,15.892097
905,12.137957
906,19.678957
907,13.73332
908,20.447975
909,7.402869
910,6.822345
911,23.848309
912,8.315835
913,3.6811469
914,4.672242
915,2.630849
916,22.07472
917,20.803867
918,10.61515
919,15.8171015
920,22.860708
921,22.657393
922,1.0
923,9.242424
924,7.719589
925,1.0
926,11.555521
927,1.0
928,26.858475
929,16.722075
930,27.662971
931,3.1268456
932,12.284271
933,22.842054
934,3.5582314
935,31.15509
936,8.244261
937,29.534035
938,3.5982327
939,7.1872663
940,30.694054
941,2.81989
942,20.632198
943,10.143031
944,23.074741
945,20.872824
946,21.227512
947,21.941174
948,30.068115
949,11.182386
950,13.854505
951,1.4879913
952,7.742511
953,1.4616308
954,2.2190666
955,21.3176
956,5.101575
957,22.901524
958,18.53722
959,13.550822
960,10.178659
961,9.28422
962,12.2668085
963,18.753033
964,1.3920646
965,13.114451
966,6.9703245
967,21.194752
968,11.557131
969,20.981068
970,5.3521223
971,7.3340187
972,6.925256
973,7.7097673
974,5.3071404
975,1.0
976,29.709442
977,12.188506
978,13.983062
979,8.008791
980,21.398153
981,2.7574887
982,6.5272617
983,28.785194
984,6.4728775
985,2.0442514
986,2.6261673
987,24.465385
988,21.374397
989,2.7918215
990,1.788477
991,19.952194
992,17.17517
993,26.557663
994,6.523407
995,7.6796665
996,6.798602
997,9.11447
998,13.23235
999,29.29324
1000,2.0013924
1001,2.577818
1002,28.993881
1003,4.502531
1004,17.531212
1005,5.5092707
1006,10.946759
1007,3.351925
1008,1.0
1009,13.530612
1010,5.0749855
1011,4.465105
1012,19.32211
1013,2.1700792
1014,35.38951
1015,2.6883361
1016,20.760433
1017,7.285656
1018,8.234773
1019,32.21367
1020,25.961792
